X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,Camping San Rafael,Carr. Peizas, 27789 Foz, Lugo,Foz,Lugo,campingsanrafael.com,982 13 22 18,"43,587,727",-728,239
0.0,0.000000026167978,Camping Sènia RIU,Carr. de la platja, s/n, 17470, Girona,Bon Relax,Girona,campingriu.com,972 52 02 16,"421,885,052",30
0.0,0.000000026167978,Camping Solmar,Carrer de Cristòfor Colom, 48, 17300 Blanes, Girona,Blanes,Girona,,972 34 80 34,"416,619,616",27
0.0,0.000000026167978,CAMPING SOLOPUENT CASTIELLO DE JACA,Carretera de Bescos, S/N, 22710 Castiello de Jaca, Huesca,Castiello de Jaca,Huesca,solopuent.com,974 35 00 46,"426,241,581",-0.5437002
0.0,0.000000026167978,Camping Playa Taray,Ctra. La Antilla - Isla Cristina, Km 4,1, 21430 Isla Cristina, Huelva,Isla Cristina,Huelva,campingtaray.com,959 34 11 02,37.204986
0.0,0.000000026167978,Camping Rural Teruel Casa Fausto,Carretera Castellar, s/n, 44440 Formiche Alto, Teruel,Formiche Alto,Teruel,casafausto.es,978 67 01 21,"403,299,494",-0.8859958
0.0,0.000000026167978,Camping Valle de Nocito | Habitaciones Rurales Casa Ortas Albas,Camino De la Pillera, 0 S/N, 22622 Nocito, Huesca,Nocito,Huesca,business.site,615 05 99 61,"423,204,356",-0.2542914
0.0,0.000000026167978,Camping Venta de Contreras Ecoresort,"Carretera de Contreras km 2&apos;5", 16260 Minglanilla, Cuenca,Minglanilla,Cuenca,laventadecontreras.com,606 87 42 06,"395,400,267",-15,078
0.0,0.000000026167978,Camping Cabopino,Calle Marbella, Km.194,7, 29604 Málaga,Marbella,Málaga,campingcabopino.com,952 83 43 73,"36,489,006",-4
0.0,0.000000026167978,Camping Village Doñarrayan Park,Ctra. Hinojos - El Rocío Km. 7, 21740 Hinojos, Huelva,Hinojos,Huelva,donarrayan-park.com,959 02 75 02,37.2431808,-6.382321,https://g.page/Donarrayan?share
0.0,0.000000026167978,Eco Camping Arbizu,Paraje Utzu, Km 5, 31839 Arbizu, Navarra,Arbizu,Navarra,campingarbizu.com,848 47 09 22,"428,984,751",-20
0.0,0.000000026167978,Camping el Templo del Sol,Via Augusta," 43890 L&apos;Hospitalet de l&apos;Infant", Tarragona,Hospitalet del Infante,Tarragona,eltemplodelsol.com,977 82 34 34,"40,977,031",0.9011338,https://g.page/eltemplodelsol?share
0.0,0.000000026167978,Camping Entrerrobles,Carretera Valdeavellano de Tera - Molinos de Razón, S/N, 42165 Valdeavellano de Tera, Soria,Valdeavellano de Tera,Soria,campingentrerrobles.com,975 18 08 00,"41,945,415",-2
